frame_id,image_name,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y
0,000_001.png,0.3837890625,0.2978515625,0.3740234375,0.3193359375,0.4033203125,0.2744140625,0.4228515625,0.2919921875,0.3720703125,0.2744140625,0.3525390625,0.2998046875,0.4033203125,0.3115234375,0.4169921875,0.6396484375,0.6181640625,0.5556640625,0.5263671875,0.5107421875,0.3232421875,0.4033203125,0.4619140625,0.6806640625,0.4755859375,0.3212890625,0.3662109375,0.4833984375,0.5185546875,0.6689453125
1,000_002.png,0.3857421875,0.2978515625,0.3740234375,0.3212890625,0.4033203125,0.2744140625,0.4248046875,0.2939453125,0.3740234375,0.2744140625,0.3544921875,0.3017578125,0.4052734375,0.3115234375,0.4189453125,0.6455078125,0.6865234375,0.5380859375,0.5380859375,0.5087890625,0.3251953125,0.4072265625,0.4599609375,0.6826171875,0.4775390625,0.3251953125,0.4248046875,0.3466796875,0.5146484375,0.6728515625
2,000_003.png,0.3818359375,0.2978515625,0.3720703125,0.3212890625,0.4013671875,0.2744140625,0.4248046875,0.2958984375,0.3681640625,0.2744140625,0.3505859375,0.3017578125,0.4052734375,0.3134765625,0.4169921875,0.6474609375,0.6650390625,0.6259765625,0.5400390625,0.5087890625,0.3251953125,0.4033203125,0.4599609375,0.6826171875,0.4814453125,0.3291015625,0.3896484375,0.5537109375,0.5126953125,0.6748046875
3,000_004.png,0.3818359375,0.3017578125,0.3720703125,0.3232421875,0.4033203125,0.2783203125,0.4228515625,0.2978515625,0.3701171875,0.2763671875,0.3525390625,0.3037109375,0.4052734375,0.3134765625,0.4150390625,0.6474609375,0.6337890625,0.6689453125,0.5400390625,0.5166015625,0.3271484375,0.4072265625,0.4580078125,0.6767578125,0.4833984375,0.3330078125,0.3662109375,0.4755859375,0.5107421875,0.6767578125
4,000_005.png,0.3798828125,0.2978515625,0.3701171875,0.3212890625,0.4013671875,0.2744140625,0.4228515625,0.2939453125,0.3662109375,0.2724609375,0.3486328125,0.3017578125,0.4013671875,0.3115234375,0.4169921875,0.6494140625,0.6435546875,0.6611328125,0.5419921875,0.5126953125,0.3291015625,0.4052734375,0.4599609375,0.6826171875,0.4853515625,0.3330078125,0.3779296875,0.5576171875,0.5087890625,0.6787109375
5,000_006.png,0.3779296875,0.2939453125,0.3681640625,0.3193359375,0.3974609375,0.2685546875,0.4208984375,0.2919921875,0.3642578125,0.2666015625,0.3447265625,0.2978515625,0.3994140625,0.3095703125,0.4150390625,0.6494140625,0.6748046875,0.6103515625,0.5400390625,0.5087890625,0.3291015625,0.4033203125,0.4580078125,0.6806640625,0.4853515625,0.3330078125,0.3837890625,0.5634765625,0.5126953125,0.6767578125
6,000_007.png,0.3779296875,0.2939453125,0.3662109375,0.3173828125,0.4013671875,0.2685546875,0.4208984375,0.2900390625,0.3662109375,0.2646484375,0.3447265625,0.2958984375,0.3994140625,0.3095703125,0.4169921875,0.6455078125,0.6845703125,0.5380859375,0.5380859375,0.5068359375,0.3310546875,0.4033203125,0.4580078125,0.6787109375,0.4873046875,0.3330078125,0.3798828125,0.5615234375,0.5126953125,0.6748046875
7,000_008.png,0.3740234375,0.2880859375,0.3662109375,0.3134765625,0.3974609375,0.2626953125,0.4208984375,0.2861328125,0.3642578125,0.2587890625,0.3427734375,0.2919921875,0.3974609375,0.3017578125,0.4130859375,0.6474609375,0.6162109375,0.5732421875,0.5361328125,0.5009765625,0.3310546875,0.4013671875,0.4599609375,0.6806640625,0.4853515625,0.3349609375,0.3681640625,0.4677734375,0.5146484375,0.6728515625
8,000_009.png,0.3720703125,0.2802734375,0.3642578125,0.3076171875,0.3955078125,0.2568359375,0.4189453125,0.2783203125,0.3603515625,0.2509765625,0.3388671875,0.2880859375,0.3974609375,0.2958984375,0.4130859375,0.6455078125,0.6201171875,0.5556640625,0.5322265625,0.4990234375,0.3330078125,0.3974609375,0.4599609375,0.6787109375,0.4853515625,0.3330078125,0.3818359375,0.5595703125,0.5146484375,0.6728515625
9,000_010.png,0.3720703125,0.2744140625,0.3623046875,0.3017578125,0.3955078125,0.2470703125,0.4169921875,0.2744140625,0.3583984375,0.2451171875,0.3388671875,0.2783203125,0.3935546875,0.2919921875,0.4130859375,0.6455078125,0.6787109375,0.5048828125,0.5361328125,0.4970703125,0.3310546875,0.3955078125,0.4619140625,0.6806640625,0.4873046875,0.3330078125,0.3857421875,0.5576171875,0.5166015625,0.6728515625
10,000_011.png,0.3720703125,0.2705078125,0.3623046875,0.2978515625,0.3955078125,0.2451171875,0.4189453125,0.2724609375,0.3583984375,0.2392578125,0.3388671875,0.2744140625,0.3935546875,0.2900390625,0.4150390625,0.6455078125,0.6767578125,0.6064453125,0.5419921875,0.5009765625,0.3330078125,0.3994140625,0.4599609375,0.6787109375,0.4892578125,0.3349609375,0.3798828125,0.5595703125,0.5146484375,0.6748046875
11,000_012.png,0.3701171875,0.2646484375,0.3603515625,0.2939453125,0.3916015625,0.2392578125,0.4169921875,0.2666015625,0.3564453125,0.2353515625,0.3369140625,0.2685546875,0.3935546875,0.2822265625,0.4130859375,0.6455078125,0.6376953125,0.6630859375,0.5419921875,0.5009765625,0.3330078125,0.3955078125,0.4619140625,0.6767578125,0.4873046875,0.3349609375,0.3740234375,0.5556640625,0.5126953125,0.6748046875
12,000_013.png,0.3701171875,0.2646484375,0.3603515625,0.2919921875,0.3935546875,0.2392578125,0.4150390625,0.2646484375,0.3564453125,0.2333984375,0.3369140625,0.2685546875,0.3916015625,0.2822265625,0.4130859375,0.6494140625,0.6416015625,0.6572265625,0.5419921875,0.5009765625,0.3330078125,0.3955078125,0.4638671875,0.6826171875,0.4853515625,0.3330078125,0.3798828125,0.5556640625,0.5107421875,0.6767578125
13,000_014.png,0.3701171875,0.2646484375,0.3623046875,0.2939453125,0.3935546875,0.2412109375,0.4169921875,0.2666015625,0.3583984375,0.2353515625,0.3369140625,0.2724609375,0.3955078125,0.2841796875,0.4130859375,0.6474609375,0.6767578125,0.6103515625,0.5400390625,0.5009765625,0.3310546875,0.3935546875,0.4580078125,0.6767578125,0.4853515625,0.3349609375,0.3779296875,0.5556640625,0.5126953125,0.6767578125
14,000_015.png,0.3720703125,0.2763671875,0.3623046875,0.3017578125,0.3955078125,0.2509765625,0.4169921875,0.2763671875,0.3623046875,0.2451171875,0.3408203125,0.2783203125,0.3955078125,0.2958984375,0.4130859375,0.6455078125,0.6826171875,0.5400390625,0.5380859375,0.5029296875,0.3310546875,0.3974609375,0.4580078125,0.6806640625,0.4873046875,0.3369140625,0.3818359375,0.5576171875,0.5107421875,0.6767578125
15,000_016.png,0.3720703125,0.2763671875,0.3623046875,0.3037109375,0.3935546875,0.2509765625,0.4169921875,0.2744140625,0.3603515625,0.2451171875,0.3388671875,0.2802734375,0.3935546875,0.2939453125,0.4111328125,0.6474609375,0.6123046875,0.5751953125,0.5361328125,0.5009765625,0.3330078125,0.4013671875,0.4560546875,0.6767578125,0.4853515625,0.3330078125,0.3837890625,0.5517578125,0.5146484375,0.6728515625
16,000_017.png,0.3740234375,0.2841796875,0.3662109375,0.3095703125,0.3974609375,0.2568359375,0.4189453125,0.2822265625,0.3623046875,0.2529296875,0.3427734375,0.2880859375,0.3974609375,0.2998046875,0.4150390625,0.6494140625,0.6162109375,0.5595703125,0.5302734375,0.5029296875,0.3310546875,0.4033203125,0.4599609375,0.6787109375,0.4853515625,0.3330078125,0.3837890625,0.5517578125,0.5126953125,0.6748046875
17,000_018.png,0.3740234375,0.2880859375,0.3662109375,0.3154296875,0.3955078125,0.2626953125,0.4189453125,0.2841796875,0.3603515625,0.2607421875,0.3408203125,0.2939453125,0.3974609375,0.3037109375,0.4150390625,0.6474609375,0.6787109375,0.5068359375,0.5380859375,0.5009765625,0.3310546875,0.3994140625,0.4580078125,0.6787109375,0.4853515625,0.3310546875,0.3876953125,0.5615234375,0.5126953125,0.6728515625
18,000_019.png,0.3779296875,0.2939453125,0.3681640625,0.3173828125,0.3994140625,0.2666015625,0.4228515625,0.2900390625,0.3662109375,0.2646484375,0.3447265625,0.2958984375,0.4013671875,0.3076171875,0.4169921875,0.6455078125,0.6767578125,0.6083984375,0.5400390625,0.5068359375,0.3271484375,0.4033203125,0.4580078125,0.6787109375,0.4853515625,0.3310546875,0.3837890625,0.5576171875,0.5126953125,0.6767578125
19,000_020.png,0.3779296875,0.2919921875,0.3681640625,0.3173828125,0.3994140625,0.2685546875,0.4208984375,0.2900390625,0.3623046875,0.2646484375,0.3447265625,0.2958984375,0.3994140625,0.3076171875,0.4169921875,0.6474609375,0.6376953125,0.6630859375,0.5400390625,0.5107421875,0.3291015625,0.4013671875,0.4580078125,0.6806640625,0.4833984375,0.3291015625,0.3818359375,0.5576171875,0.5107421875,0.6748046875
